GeneA GeneB Genus spp relationship
Potri.018G053300 SapurV1A.1448s0030 S. purpurea one-to-many
Potri.008G092800 SapurV1A.0176s0040 S. purpurea one-to-one
Potri.009G120500 SapurV1A.0432s0110 S. purpurea many-to-one
Potri.004G158600 SapurV1A.0432s0110 S. purpurea many-to-one
Potri.009G020500 SapurV1A.0146s0070 S. purpurea one-to-one
Potri.009G100200 SapurV1A.0643s0110 S. purpurea one-to-one
Potri.011G144000 SapurV1A.0047s0370 S. purpurea one-to-one
Potri.006G241500 SapurV1A.0446s0190 S. purpurea one-to-one
Potri.006G003100 SapurV1A.0220s0270 S. purpurea one-to-one
Potri.T106100 SapurV1A.0053s0290 S. purpurea one-to-one
Potri.014G161700 SapurV1A.0142s0050 S. purpurea one-to-one
Potri.018G107800 SapurV1A.1152s0030 S. purpurea one-to-one
Potri.014G140500 SapurV1A.0053s0730 S. purpurea one-to-one
Potri.008G070300 SapurV1A.0650s0020 S. purpurea one-to-one
Potri.010G136700 SapurV1A.0084s0470 S. purpurea one-to-one
Potri.017G091900 SapurV1A.0460s0050 S. purpurea one-to-one
Potri.017G123900 SapurV1A.0230s0110 S. purpurea one-to-one
Potri.003G046200 SapurV1A.1085s0040 S. purpurea one-to-one
Potri.008G120400 SapurV1A.0079s0160 S. purpurea one-to-one
Potri.008G170800 SapurV1A.0021s0520 S. purpurea one-to-one
Potri.005G125700 SapurV1A.0817s0060 S. purpurea one-to-one
Potri.001G287700 SapurV1A.0279s0150 S. purpurea one-to-one
Potri.012G016000 SapurV1A.0174s0010 S. purpurea one-to-one
Potri.001G129700 SapurV1A.1496s0050 S. purpurea one-to-one
Potri.003G019900 SapurV1A.0310s0030 S. purpurea one-to-many
Potri.003G019900 SapurV1A.4519s0010 S. purpurea one-to-many
Potri.003G019900 SapurV1A.0310s0020 S. purpurea one-to-many
Potri.003G019900 SapurV1A.0310s0040 S. purpurea one-to-many
Potri.013G129100 SapurV1A.3628s0010 S. purpurea one-to-one
Potri.010G012000 SapurV1A.0264s0010 S. purpurea one-to-many
Potri.010G012000 SapurV1A.1579s0030 S. purpurea one-to-many
Potri.005G099300 SapurV1A.0085s0270 S. purpurea one-to-many
Potri.005G099300 SapurV1A.2177s0010 S. purpurea one-to-many
Potri.009G015800 SapurV1A.0240s0170 S. purpurea one-to-one
Potri.001G343600 SapurV1A.1388s0040 S. purpurea one-to-one
Potri.015G001900 SapurV1A.1617s0060 S. purpurea one-to-one
Potri.013G135500 SapurV1A.0048s0760 S. purpurea one-to-one
Potri.013G160000 SapurV1A.1105s0130 S. purpurea one-to-one
Potri.001G071700 SapurV1A.0236s0460 S. purpurea one-to-one
Potri.001G210600 SapurV1A.1365s0020 S. purpurea one-to-one
Potri.016G084200 SapurV1A.0247s0200 S. purpurea one-to-one
Potri.005G174800 SapurV1A.0105s0090 S. purpurea one-to-one
Potri.001G340000 SapurV1A.0727s0140 S. purpurea one-to-one
Potri.001G464300 SapurV1A.0742s0150 S. purpurea one-to-one
Potri.001G361100 SapurV1A.0030s0360 S. purpurea one-to-one
Potri.004G012700 SapurV1A.1762s0030 S. purpurea many-to-one
Potri.004G012500 SapurV1A.1762s0030 S. purpurea many-to-one
Potri.014G039700 SapurV1A.1519s0030 S. purpurea one-to-many
Potri.014G039700 SapurV1A.0715s0140 S. purpurea one-to-many
Potri.018G021800 SapurV1A.0705s0070 S. purpurea one-to-many
Potri.018G021800 SapurV1A.2147s0010 S. purpurea one-to-many
Potri.010G014800 SapurV1A.0656s0050 S. purpurea one-to-one
Potri.011G144100 SapurV1A.0047s0380 S. purpurea one-to-one
Potri.004G228100 SapurV1A.0225s0210 S. purpurea one-to-one
Potri.004G145700 SapurV1A.1020s0070 S. purpurea one-to-one
Potri.001G126100 SapurV1A.1544s0050 S. purpurea one-to-one
Potri.013G012000 SapurV1A.0088s0640 S. purpurea one-to-one
Potri.013G047100 SapurV1A.0309s0210 S. purpurea one-to-one
Potri.005G053000 SapurV1A.0729s0200 S. purpurea one-to-one
Potri.008G020900 SapurV1A.0371s0170 S. purpurea one-to-one
Potri.007G021900 SapurV1A.0744s0150 S. purpurea one-to-one
Potri.001G302500 SapurV1A.0005s1020 S. purpurea one-to-one
Potri.019G065200 SapurV1A.1397s0030 S. purpurea many-to-many
Potri.019G065200 SapurV1A.0907s0010 S. purpurea many-to-many
Potri.019G065000 SapurV1A.1397s0030 S. purpurea many-to-many
Potri.019G065000 SapurV1A.0907s0010 S. purpurea many-to-many
Potri.019G065100 SapurV1A.1397s0030 S. purpurea many-to-many
Potri.019G065100 SapurV1A.0907s0010 S. purpurea many-to-many
Potri.019G064800 SapurV1A.1397s0030 S. purpurea many-to-many
Potri.019G064800 SapurV1A.0907s0010 S. purpurea many-to-many
Potri.017G048500 SapurV1A.2080s0010 S. purpurea one-to-many
Potri.017G048500 SapurV1A.0193s0110 S. purpurea one-to-many
Potri.017G048500 SapurV1A.0193s0130 S. purpurea one-to-many
Potri.010G174200 SapurV1A.0093s0230 S. purpurea one-to-one
Potri.010G203400 SapurV1A.0095s0080 S. purpurea one-to-one
Potri.013G066400 SapurV1A.1203s0010 S. purpurea many-to-many
Potri.013G066400 SapurV1A.1203s0020 S. purpurea many-to-many
Potri.013G066500 SapurV1A.1203s0010 S. purpurea many-to-many
Potri.013G066500 SapurV1A.1203s0020 S. purpurea many-to-many
Potri.017G010200 SapurV1A.0078s0190 S. purpurea one-to-one
Potri.018G109900 SapurV1A.0347s0120 S. purpurea one-to-one
Potri.010G079000 SapurV1A.0055s0440 S. purpurea one-to-one
Potri.004G140200 SapurV1A.0471s0020 S. purpurea one-to-one
Potri.004G177100 SapurV1A.1741s0050 S. purpurea one-to-one
Potri.005G111600 SapurV1A.0130s0310 S. purpurea one-to-one
Potri.005G189400 SapurV1A.0256s0120 S. purpurea one-to-one
Potri.007G068400 SapurV1A.1540s0040 S. purpurea one-to-one
Potri.006G013000 SapurV1A.0788s0110 S. purpurea many-to-many
Potri.006G013000 SapurV1A.3078s0030 S. purpurea many-to-many
Potri.006G011900 SapurV1A.0788s0110 S. purpurea many-to-many
Potri.006G011900 SapurV1A.3078s0030 S. purpurea many-to-many
Potri.017G146300 SapurV1A.1218s0160 S. purpurea one-to-many
Potri.017G146300 SapurV1A.0392s0240 S. purpurea one-to-many
Potri.017G146300 SapurV1A.0392s0230 S. purpurea one-to-many
Potri.018G140900 SapurV1A.0140s0300 S. purpurea one-to-one
Potri.004G019900 SapurV1A.2208s0010 S. purpurea one-to-many
Potri.004G019900 SapurV1A.0543s0050 S. purpurea one-to-many
Potri.004G194200 SapurV1A.1921s0040 S. purpurea one-to-many
Potri.004G194200 SapurV1A.1651s0050 S. purpurea one-to-many
Potri.016G039300 SapurV1A.0797s0080 S. purpurea many-to-one
Potri.016G039200 SapurV1A.0797s0080 S. purpurea many-to-one
Potri.010G117900 SapurV1A.0120s0370 S. purpurea one-to-one
Potri.009G143200 SapurV1A.0039s0700 S. purpurea one-to-one
Potri.003G114900 SapurV1A.0045s0140 S. purpurea one-to-one
Potri.015G135800 SapurV1A.0068s0600 S. purpurea one-to-one
Potri.016G130000 SapurV1A.0217s0110 S. purpurea one-to-one
Potri.013G110700 SapurV1A.0277s0170 S. purpurea one-to-one
Potri.008G126500 SapurV1A.0163s0360 S. purpurea one-to-one
Potri.005G187800 SapurV1A.0261s0010 S. purpurea one-to-many
Potri.005G187800 SapurV1A.0256s0250 S. purpurea one-to-many
Potri.005G088800 SapurV1A.0333s0100 S. purpurea one-to-one
Potri.005G110000 SapurV1A.0130s0180 S. purpurea one-to-one
Potri.001G140600 SapurV1A.0555s0110 S. purpurea one-to-one
Potri.001G281900 SapurV1A.0042s0100 S. purpurea one-to-many
Potri.001G281900 SapurV1A.0042s0090 S. purpurea one-to-many
Potri.001G448400 SapurV1A.2717s0010 S. purpurea one-to-many
Potri.001G448400 SapurV1A.0941s0070 S. purpurea one-to-many
Potri.009G167400 SapurV1A.0374s0270 S. purpurea one-to-one
Potri.009G064700 SapurV1A.0027s0090 S. purpurea one-to-one
Potri.010G214700 SapurV1A.0023s0710 S. purpurea one-to-one
Potri.010G162200 SapurV1A.0480s0070 S. purpurea one-to-one
Potri.010G170700 SapurV1A.0458s0350 S. purpurea one-to-one
Potri.011G009600 SapurV1A.0067s0150 S. purpurea one-to-one
Potri.006G144900 SapurV1A.2253s0010 S. purpurea one-to-one
Potri.006G278700 SapurV1A.0263s0180 S. purpurea one-to-one
Potri.006G261300 SapurV1A.0730s0020 S. purpurea one-to-one
Potri.018G069600 SapurV1A.0955s0030 S. purpurea one-to-one
Potri.017G102000 SapurV1A.0645s0090 S. purpurea one-to-one
Potri.019G053000 SapurV1A.0170s0080 S. purpurea one-to-one
Potri.016G079400 SapurV1A.1220s0080 S. purpurea one-to-one
Potri.008G081700 SapurV1A.0149s0480 S. purpurea one-to-one
Potri.005G139400 SapurV1A.0603s0090 S. purpurea one-to-one
Potri.001G120900 SapurV1A.0516s0030 S. purpurea one-to-one
Potri.014G089200 SapurV1A.0013s1140 S. purpurea one-to-one
Potri.012G082100 SapurV1A.0421s0100 S. purpurea one-to-one
Potri.010G056300 SapurV1A.0330s0260 S. purpurea one-to-many
Potri.010G056300 SapurV1A.0330s0230 S. purpurea one-to-many
Potri.010G056300 SapurV1A.1418s0080 S. purpurea one-to-many
Potri.010G056300 SapurV1A.1418s0070 S. purpurea one-to-many
Potri.010G056300 SapurV1A.0330s0270 S. purpurea one-to-many
Potri.003G057100 SapurV1A.0002s0360 S. purpurea many-to-many
Potri.003G057100 SapurV1A.0762s0070 S. purpurea many-to-many
Potri.003G057000 SapurV1A.0002s0360 S. purpurea many-to-many
Potri.003G057000 SapurV1A.0762s0070 S. purpurea many-to-many
Potri.003G057200 SapurV1A.0002s0360 S. purpurea many-to-many
Potri.003G057200 SapurV1A.0762s0070 S. purpurea many-to-many
Potri.017G028400 SapurV1A.0190s0160 S. purpurea many-to-many
Potri.017G028400 SapurV1A.0865s0040 S. purpurea many-to-many
Potri.017G028400 SapurV1A.3362s0010 S. purpurea many-to-many
Potri.017G028600 SapurV1A.0190s0160 S. purpurea many-to-many
Potri.017G028600 SapurV1A.0865s0040 S. purpurea many-to-many
Potri.017G028600 SapurV1A.3362s0010 S. purpurea many-to-many
Potri.006G038700 SapurV1A.4896s0010 S. purpurea one-to-many
Potri.006G038700 SapurV1A.0196s0310 S. purpurea one-to-many
Potri.006G142800 SapurV1A.3963s0010 S. purpurea one-to-many
Potri.006G142800 SapurV1A.0622s0010 S. purpurea one-to-many
Potri.003G092300 SapurV1A.2190s0010 S. purpurea one-to-many
Potri.003G092300 SapurV1A.0151s0100 S. purpurea one-to-many
Potri.018G027100 SapurV1A.3252s0010 S. purpurea one-to-many
Potri.018G027100 SapurV1A.0192s0090 S. purpurea one-to-many
Potri.014G052700 SapurV1A.2187s0030 S. purpurea one-to-many
Potri.014G052700 SapurV1A.0490s0010 S. purpurea one-to-many
Potri.009G108500 SapurV1A.0090s0340 S. purpurea one-to-one
Potri.001G391900 SapurV1A.0064s0270 S. purpurea one-to-one
Potri.011G122000 SapurV1A.0401s0080 S. purpurea one-to-one
Potri.006G279400 SapurV1A.0263s0140 S. purpurea one-to-one
Potri.006G148200 SapurV1A.0108s0230 S. purpurea one-to-one
Potri.004G067000 SapurV1A.0971s0080 S. purpurea one-to-one
Potri.014G057400 SapurV1A.0382s0080 S. purpurea one-to-one
Potri.017G135000 SapurV1A.0223s0240 S. purpurea one-to-one
Potri.018G051100 SapurV1A.0435s0160 S. purpurea one-to-one
Potri.017G053400 SapurV1A.1000s0100 S. purpurea one-to-one
Potri.003G097600 SapurV1A.0063s0130 S. purpurea one-to-one
Potri.008G195200 SapurV1A.0410s0170 S. purpurea one-to-one
Potri.004G141700 SapurV1A.0627s0050 S. purpurea one-to-one
Potri.010G227100 SapurV1A.0213s0110 S. purpurea one-to-many
Potri.010G227100 SapurV1A.2092s0010 S. purpurea one-to-many
Potri.008G056400 SapurV1A.0451s0140 S. purpurea one-to-one
Potri.001G113500 SapurV1A.0260s0290 S. purpurea one-to-one
Potri.001G309500 SapurV1A.0231s0320 S. purpurea one-to-one
Potri.012G079000 SapurV1A.0165s0150 S. purpurea one-to-one
Potri.012G054200 SapurV1A.0915s0030 S. purpurea one-to-one
Potri.012G144700 SapurV1A.0862s0190 S. purpurea one-to-one
Potri.003G176900 SapurV1A.0056s0640 S. purpurea many-to-many
Potri.003G176900 SapurV1A.0056s0660 S. purpurea many-to-many
Potri.003G176800 SapurV1A.0056s0640 S. purpurea many-to-many
Potri.003G176800 SapurV1A.0056s0660 S. purpurea many-to-many
Potri.006G245200 SapurV1A.0375s0230 S. purpurea one-to-many
Potri.006G245200 SapurV1A.3964s0010 S. purpurea one-to-many
Potri.004G062100 SapurV1A.3884s0020 S. purpurea one-to-many
Potri.004G062100 SapurV1A.0029s0240 S. purpurea one-to-many
Potri.016G045500 SapurV1A.0018s0700 S. purpurea many-to-one
Potri.006G192700 SapurV1A.0018s0700 S. purpurea many-to-one
Potri.002G201000 SapurV1A.0494s0130 S. purpurea one-to-one
Potri.013G087100 SapurV1A.0182s0290 S. purpurea one-to-many
Potri.013G087100 SapurV1A.1141s0060 S. purpurea one-to-many
Potri.010G158100 SapurV1A.0072s0200 S. purpurea one-to-one
Potri.014G143100 SapurV1A.0636s0130 S. purpurea one-to-one
Potri.014G145100 SapurV1A.0542s0090 S. purpurea one-to-one
Potri.017G094600 SapurV1A.0795s0060 S. purpurea one-to-one
Potri.018G048500 SapurV1A.0435s0030 S. purpurea one-to-one
Potri.005G087600 SapurV1A.0333s0030 S. purpurea one-to-one
Potri.005G260400 SapurV1A.0554s0010 S. purpurea one-to-one
Potri.005G242900 SapurV1A.0384s0200 S. purpurea one-to-one
Potri.005G091700 SapurV1A.0333s0340 S. purpurea one-to-one
Potri.004G111600 SapurV1A.0274s0140 S. purpurea one-to-one
Potri.007G133900 SapurV1A.0118s0420 S. purpurea one-to-one
Potri.007G028200 SapurV1A.0255s0170 S. purpurea one-to-one
Potri.001G240600 SapurV1A.1397s0020 S. purpurea many-to-one
Potri.019G064300 SapurV1A.1397s0020 S. purpurea many-to-one
Potri.T126900 SapurV1A.3020s0010 S. purpurea many-to-one
Potri.011G130500 SapurV1A.3020s0010 S. purpurea many-to-one
Potri.009G072800 SapurV1A.0042s0470 S. purpurea one-to-one
Potri.002G054900 SapurV1A.0289s0190 S. purpurea one-to-one
Potri.014G141700 SapurV1A.0053s0850 S. purpurea one-to-one
Potri.017G035800 SapurV1A.0779s0020 S. purpurea one-to-one
Potri.016G023400 SapurV1A.0362s0030 S. purpurea one-to-one
Potri.005G235200 SapurV1A.0762s0170 S. purpurea one-to-one
Potri.001G421300 SapurV1A.0784s0170 S. purpurea one-to-one
Potri.001G010300 SapurV1A.0559s0310 S. purpurea one-to-one
Potri.014G180800 SapurV1A.1060s0090 S. purpurea one-to-one
Potri.010G007300 SapurV1A.0264s0080 S. purpurea many-to-many
Potri.010G007300 SapurV1A.2078s0010 S. purpurea many-to-many
Potri.010G007300 SapurV1A.0264s0210 S. purpurea many-to-many
Potri.010G011100 SapurV1A.0264s0080 S. purpurea many-to-many
Potri.010G011100 SapurV1A.2078s0010 S. purpurea many-to-many
Potri.010G011100 SapurV1A.0264s0210 S. purpurea many-to-many
Potri.004G151600 SapurV1A.1564s0040 S. purpurea many-to-one
Potri.004G152100 SapurV1A.1564s0040 S. purpurea many-to-one
Potri.004G116700 SapurV1A.0323s0050 S. purpurea one-to-many
Potri.004G116700 SapurV1A.4155s0010 S. purpurea one-to-many
Potri.004G062300 SapurV1A.3884s0010 S. purpurea one-to-many
Potri.004G062300 SapurV1A.0029s0230 S. purpurea one-to-many
Potri.014G019300 SapurV1A.0706s0190 S. purpurea one-to-many
Potri.014G019300 SapurV1A.0706s0200 S. purpurea one-to-many
Potri.017G082000 SapurV1A.2065s0010 S. purpurea one-to-many
Potri.017G082000 SapurV1A.2645s0010 S. purpurea one-to-many
Potri.001G352700 SapurV1A.0297s0010 S. purpurea one-to-many
Potri.001G352700 SapurV1A.0126s0040 S. purpurea one-to-many
Potri.004G117800 SapurV1A.0323s0140 S. purpurea one-to-one
Potri.006G052100 SapurV1A.0981s0070 S. purpurea one-to-one
Potri.010G011200 SapurV1A.0264s0070 S. purpurea one-to-one
Potri.011G152400 SapurV1A.1638s0050 S. purpurea one-to-one
Potri.002G027300 SapurV1A.0025s0740 S. purpurea one-to-one
Potri.014G139700 SapurV1A.0053s0660 S. purpurea one-to-one
Potri.014G074400 SapurV1A.0578s0150 S. purpurea one-to-one
Potri.017G083700 SapurV1A.1089s0050 S. purpurea one-to-one
Potri.003G163300 SapurV1A.0499s0080 S. purpurea one-to-one
Potri.003G207200 SapurV1A.0009s0400 S. purpurea one-to-one
Potri.003G062700 SapurV1A.0002s0740 S. purpurea one-to-one
Potri.016G094300 SapurV1A.0547s0070 S. purpurea one-to-one
Potri.001G073600 SapurV1A.0236s0260 S. purpurea one-to-one
Potri.008G063800 SapurV1A.0709s0170 S. purpurea one-to-one
Potri.013G024200 SapurV1A.0092s0290 S. purpurea one-to-one
Potri.008G161400 SapurV1A.0580s0080 S. purpurea one-to-one
Potri.005G064000 SapurV1A.1092s0090 S. purpurea one-to-one
Potri.005G075000 SapurV1A.0403s0180 S. purpurea one-to-one
Potri.001G066700 SapurV1A.0340s0130 S. purpurea one-to-one
Potri.014G175700 SapurV1A.0145s0480 S. purpurea one-to-one
Potri.001G367900 SapurV1A.0115s0250 S. purpurea one-to-one
Potri.001G051500 SapurV1A.0820s0070 S. purpurea many-to-many
Potri.001G051500 SapurV1A.0820s0080 S. purpurea many-to-many
Potri.001G051500 SapurV1A.3012s0030 S. purpurea many-to-many
Potri.001G051600 SapurV1A.0820s0070 S. purpurea many-to-many
Potri.001G051600 SapurV1A.0820s0080 S. purpurea many-to-many
Potri.001G051600 SapurV1A.3012s0030 S. purpurea many-to-many
Potri.011G093500 SapurV1A.0416s0150 S. purpurea one-to-many
Potri.011G093500 SapurV1A.0416s0140 S. purpurea one-to-many
Potri.011G093500 SapurV1A.4417s0010 S. purpurea one-to-many
Potri.005G237100 SapurV1A.0389s0300 S. purpurea one-to-one
Potri.004G112800 SapurV1A.0274s0050 S. purpurea one-to-many
Potri.004G112800 SapurV1A.2517s0010 S. purpurea one-to-many
Potri.009G089300 SapurV1A.0019s0290 S. purpurea one-to-one
Potri.010G148000 SapurV1A.0050s0220 S. purpurea one-to-one
Potri.010G204300 SapurV1A.0095s0160 S. purpurea one-to-one
Potri.004G237100 SapurV1A.1143s0010 S. purpurea one-to-one
Potri.002G254900 SapurV1A.0252s0140 S. purpurea one-to-one
Potri.002G094900 SapurV1A.0010s0110 S. purpurea one-to-one
Potri.004G001000 SapurV1A.0449s0040 S. purpurea one-to-one
Potri.018G018800 SapurV1A.0372s0090 S. purpurea one-to-one
Potri.018G051600 SapurV1A.1019s0020 S. purpurea one-to-one
